Name,Affiliation,Department
Allison Hill,Stanford University,Biology
Noah Rhodes,University of Michigan,Philosophy
Angie Henderson,UC Berkeley,Philosophy
Daniel Wagner,MIT,Chemistry
Cristian Santos,MIT,Sociology
Connie Lawrence,Harvard University,Psychology
Abigail Shaffer,Stanford University,Sociology
Gina Moore,Columbia University,Psychology
Gabrielle Davis,Stanford University,Economics
Ryan Munoz,Cornell University,Biology
Monica Herrera,Yale University,Physics
Jamie Arnold,University of Michigan,Philosophy
Lisa Hensley,University of Michigan,History
Michele Williams,Stanford University,Mathematics
Dylan Miller,MIT,Computer Science
Brian Ramirez,MIT,Mathematics
Holly Wood,Columbia University,Physics
Derek Zuniga,Cornell University,Physics
Lisa Jackson,University of Michigan,Psychology
Carla Gray,Columbia University,Sociology
Margaret Hawkins DDS,MIT,Mathematics
Patty Perez,Columbia University,Psychology
Ethan Adams,Yale University,Psychology
Tommy Walter,MIT,Sociology
Matthew Foster,University of Chicago,History
Judy Baker,Cornell University,Philosophy
Justin Baker,UC Berkeley,Chemistry
Stephanie Ross,University of Michigan,Philosophy
Zachary Hicks,Harvard University,Computer Science
Anthony Rodriguez,Yale University,Mathematics
Rebecca Henderson,Princeton University,Philosophy
James Ferrell,UC Berkeley,Chemistry
Tricia Valencia,Harvard University,Economics
Nathan Maldonado,MIT,Mathematics
Debra Davidson,Princeton University,Chemistry
Jeffrey Chavez,Stanford University,Psychology
Sherri Baker,Stanford University,Physics
Cassandra Gaines,Yale University,History
Elizabeth Fowler,Stanford University,Computer Science
Brittany Farmer,Princeton University,Chemistry
Paula Moreno,Princeton University,Philosophy
Fred Smith,Cornell University,Physics
Sherry Decker,UC Berkeley,Philosophy
Anthony Humphrey,University of Michigan,Mathematics
Angelica Tucker,University of Chicago,Chemistry
Philip Cannon,Columbia University,Philosophy
John Pierce,Stanford University,Sociology
Shane Henderson,Yale University,Biology
Joshua Blair,Stanford University,Physics
Eric Carney,Columbia University,Economics
Jessica Holmes,UC Berkeley,Physics
Danny Morgan,Cornell University,Philosophy
Crystal Robinson,Princeton University,Philosophy
Mark Perez,Cornell University,Computer Science
Shannon Jones,MIT,Sociology
Michael Lewis,Stanford University,Economics
Timothy Duncan,University of Michigan,History
Richard Aguirre,MIT,Computer Science
Brent Jordan,UC Berkeley,Mathematics
John Daniel,Stanford University,Economics
Victoria Garcia,MIT,Chemistry
Gerald Hensley,Stanford University,Biology
Connor West,Yale University,Computer Science
Donald Wright,UC Berkeley,Biology
Jessica Callahan,University of Chicago,Sociology
Amber Kidd,Princeton University,Mathematics
Tracy House,Harvard University,Mathematics
Carol Tucker,Princeton University,History
James Brown,Princeton University,Mathematics
William Baker,MIT,Philosophy
Jordan Henderson,UC Berkeley,Physics
Whitney Peters,Stanford University,Physics
Brittney Phillips,Cornell University,History
Lauren Daniels,Harvard University,Philosophy
Amy Silva,Columbia University,Physics
Sarah Moore,MIT,Chemistry
Angela Lopez,Harvard University,Philosophy
Megan Young,University of Chicago,Sociology
Steve Sanchez,Yale University,Psychology
Lisa Barnes,UC Berkeley,Biology
Kelly Donovan,Columbia University,Philosophy
Mike Allen,MIT,Biology
Michael Evans,Princeton University,Chemistry
Paul Jones,University of Michigan,Psychology
Zachary Ferrell,MIT,Economics
Daniel Baker,University of Michigan,History
Shirley Suarez,Princeton University,Philosophy
Christopher Bass,Yale University,History
Lisa Archer,UC Berkeley,Mathematics
Aimee Montoya,Stanford University,Biology
Matthew Mcmillan,MIT,Biology
Brian Rodriguez,Cornell University,Mathematics
Denise Jacobs,Princeton University,Economics
Christina Walters,MIT,Computer Science
John Whitehead,University of Chicago,Sociology
Anna Henderson,Yale University,Philosophy
Aaron Wise,University of Chicago,Biology
Deborah Figueroa,Harvard University,Sociology
Jessica Smith,UC Berkeley,Biology
Stephen Mckee,Harvard University,Computer Science
